               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13283,            0.095679,            0.049139,             0.26499,             0.15603,            0.080293,            0.031881,             0.11222,             0.11086,            0.042582,           0.0033251,           0.0033251,            0.070074
                   1,             0.11575,             0.11572,            0.037491,             0.20724,             0.19799,             0.10902,            0.043068,             0.10851,             0.11315,            0.039071,           0.0066583,           0.0066583,            0.040074
                   2,             0.11358,             0.11815,            0.034836,             0.47157,             0.18014,             0.13895,            0.056294,              0.1063,             0.11272,            0.036799,           0.0099908,           0.0099908,            0.010073
                   3,             0.11021,              0.1186,            0.033094,             0.41606,             0.19848,             0.16695,            0.076805,             0.10351,             0.11408,            0.035831,           0.0099978,           0.0099978,           0.0099978
                   4,             0.10784,             0.11898,            0.031869,             0.54236,             0.21575,             0.18814,            0.087772,             0.10251,             0.11297,            0.034597,           0.0099978,           0.0099978,           0.0099978
                   5,              0.1063,              0.1174,            0.030736,              0.5466,             0.23829,             0.21651,             0.10545,             0.10049,             0.11222,            0.033894,           0.0099961,           0.0099961,           0.0099961
                   6,             0.10548,             0.11753,            0.030085,             0.47648,              0.2257,             0.21369,             0.10243,              0.1006,              0.1131,            0.033833,           0.0099938,           0.0099938,           0.0099938
                   7,             0.10496,             0.11717,            0.029647,             0.41212,             0.23505,             0.22575,             0.10738,             0.10034,             0.11278,            0.033593,           0.0099911,           0.0099911,           0.0099911
                   8,             0.10449,             0.11842,             0.02929,             0.43101,             0.26017,             0.24838,             0.12434,            0.099133,             0.11121,             0.03303,           0.0099879,           0.0099879,           0.0099879
                   9,             0.10346,              0.1164,            0.028904,             0.34203,             0.27964,             0.25058,             0.12564,            0.099173,             0.11159,            0.033226,           0.0099842,           0.0099842,           0.0099842
                  10,             0.10335,             0.11658,            0.028495,             0.38362,             0.26968,             0.26426,             0.13223,            0.098623,             0.11218,            0.032486,             0.00998,             0.00998,             0.00998
                  11,             0.10299,             0.11718,            0.027998,             0.39068,             0.27784,             0.26696,             0.13723,            0.098437,             0.11191,             0.03292,           0.0099753,           0.0099753,           0.0099753
                  12,             0.10268,             0.11546,            0.027795,             0.34993,             0.30825,             0.27752,             0.14209,            0.098154,              0.1117,            0.032312,           0.0099702,           0.0099702,           0.0099702
                  13,             0.10207,             0.11398,            0.027667,             0.33476,             0.32256,             0.27728,             0.14165,            0.098211,             0.11156,            0.032422,           0.0099645,           0.0099645,           0.0099645
                  14,             0.10191,             0.11421,            0.027271,             0.37124,             0.31452,             0.28917,             0.14846,            0.097535,             0.11153,            0.032082,           0.0099584,           0.0099584,           0.0099584
                  15,             0.10182,             0.11488,            0.026992,             0.34095,             0.32838,             0.28328,             0.14544,            0.097763,             0.11154,             0.03232,           0.0099517,           0.0099517,           0.0099517
                  16,             0.10153,              0.1142,            0.026775,             0.38507,             0.31313,             0.29278,             0.14965,            0.097763,             0.11088,            0.031518,           0.0099446,           0.0099446,           0.0099446
                  17,             0.10156,             0.11592,            0.026633,             0.37978,             0.33129,             0.30626,             0.15957,            0.097167,             0.11099,            0.031107,            0.009937,            0.009937,            0.009937
                  18,             0.10133,             0.11413,            0.026291,             0.37427,             0.32475,             0.29356,              0.1525,            0.097441,             0.11174,            0.031975,           0.0099289,           0.0099289,           0.0099289
                  19,             0.10105,             0.11383,            0.026329,             0.40765,             0.32194,             0.30999,             0.16222,             0.09693,             0.11114,            0.031165,           0.0099203,           0.0099203,           0.0099203
                  20,             0.10087,             0.11277,            0.026037,             0.41023,             0.32583,             0.31236,             0.16439,            0.096979,             0.11075,            0.031119,           0.0099112,           0.0099112,           0.0099112
                  21,              0.1007,             0.11393,            0.025981,             0.36525,             0.35462,             0.31285,             0.16479,            0.096666,             0.11069,            0.031086,           0.0099017,           0.0099017,           0.0099017
                  22,             0.10041,             0.11313,            0.025904,             0.40644,              0.3345,             0.31523,              0.1659,            0.096682,             0.11065,            0.031259,           0.0098916,           0.0098916,           0.0098916
                  23,            0.099881,             0.11189,            0.025561,              0.4218,             0.32685,             0.31537,             0.16559,            0.096558,             0.11104,            0.030875,           0.0098811,           0.0098811,           0.0098811
                  24,             0.10018,             0.11329,             0.02561,             0.44118,             0.32606,             0.31755,             0.16897,            0.096513,              0.1114,            0.031011,           0.0098701,           0.0098701,           0.0098701
                  25,             0.10044,             0.11438,            0.025492,             0.41348,             0.34615,             0.32476,             0.17187,            0.096486,             0.11069,            0.030852,           0.0098586,           0.0098586,           0.0098586
                  26,             0.10004,             0.11259,            0.025413,             0.43186,             0.33568,             0.32636,             0.17159,            0.096481,             0.11104,            0.030746,           0.0098467,           0.0098467,           0.0098467
                  27,             0.10005,             0.11328,            0.025379,             0.43341,             0.33161,             0.32636,             0.17293,            0.096304,             0.11064,            0.030636,           0.0098342,           0.0098342,           0.0098342
                  28,            0.099766,             0.11327,            0.025403,             0.44578,             0.33377,             0.32766,             0.17317,            0.096239,             0.11112,            0.030742,           0.0098213,           0.0098213,           0.0098213
                  29,            0.099819,             0.11355,            0.025194,             0.43175,             0.33752,             0.33024,              0.1758,            0.096208,             0.11079,            0.030661,           0.0098079,           0.0098079,           0.0098079
                  30,            0.099816,             0.11299,            0.024899,             0.43839,              0.3445,             0.33543,              0.1769,            0.096098,             0.11074,            0.030326,           0.0097941,           0.0097941,           0.0097941
                  31,            0.099462,             0.11264,            0.024892,             0.44811,             0.33371,             0.32509,             0.17114,            0.096088,             0.11094,            0.030524,           0.0097798,           0.0097798,           0.0097798
                  32,            0.099412,             0.11209,            0.024641,             0.43861,             0.34164,              0.3331,             0.17677,            0.095954,              0.1111,            0.030401,            0.009765,            0.009765,            0.009765
                  33,            0.099287,             0.11291,            0.024657,             0.42882,             0.35337,             0.33415,             0.17941,            0.095858,             0.11099,            0.030354,           0.0097497,           0.0097497,           0.0097497
                  34,            0.099242,             0.11268,            0.024763,             0.43105,             0.35081,             0.33349,             0.17733,            0.095893,             0.11065,            0.030353,            0.009734,            0.009734,            0.009734
                  35,            0.099115,             0.11236,            0.024536,             0.43742,              0.3414,             0.33552,             0.17958,            0.095717,             0.11042,            0.030361,           0.0097178,           0.0097178,           0.0097178
                  36,            0.098935,             0.11152,            0.024454,             0.46928,             0.33409,             0.34074,             0.18305,            0.095629,             0.11033,            0.030191,           0.0097011,           0.0097011,           0.0097011
                  37,            0.099152,             0.11078,            0.024337,             0.47478,             0.33832,             0.34107,             0.18311,            0.095635,             0.11068,            0.030186,            0.009684,            0.009684,            0.009684
                  38,            0.099053,             0.11092,            0.024189,             0.43894,             0.35603,              0.3398,             0.18147,            0.095675,             0.11071,            0.030167,           0.0096664,           0.0096664,           0.0096664
                  39,            0.098816,             0.11175,            0.024105,             0.46538,              0.3413,             0.34146,             0.18279,            0.095658,              0.1105,            0.030131,           0.0096484,           0.0096484,           0.0096484
