               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14153,            0.083902,            0.053545,            0.050888,            0.070106,            0.032827,           0.0089075,             0.12108,             0.10674,            0.048223,           0.0033251,           0.0033251,            0.070074
                   1,             0.12138,             0.11251,              0.0416,             0.37043,             0.14181,            0.073209,            0.026044,             0.11254,             0.11566,            0.041856,           0.0066583,           0.0066583,            0.040074
                   2,             0.11789,             0.12025,            0.038406,              0.2744,             0.16339,            0.084303,            0.030561,             0.11103,             0.11929,            0.040526,           0.0099908,           0.0099908,            0.010073
                   3,             0.11497,             0.12212,             0.03699,             0.29644,             0.17304,            0.098781,            0.042057,             0.10812,             0.11882,            0.039824,           0.0099978,           0.0099978,           0.0099978
                   4,             0.11318,             0.12155,            0.035896,             0.31855,             0.17829,             0.10673,            0.047142,             0.10712,             0.11576,            0.039426,           0.0099978,           0.0099978,           0.0099978
                   5,             0.11183,             0.11928,            0.035214,             0.43125,             0.19186,             0.12534,            0.055288,             0.10577,              0.1157,            0.037965,           0.0099961,           0.0099961,           0.0099961
                   6,             0.11139,             0.12159,             0.03447,             0.36739,             0.18275,             0.13422,            0.059986,             0.10562,             0.11521,             0.03781,           0.0099938,           0.0099938,           0.0099938
                   7,             0.11104,              0.1224,             0.03406,              0.4976,             0.17375,             0.14526,            0.065873,             0.10473,             0.11477,            0.036783,           0.0099911,           0.0099911,           0.0099911
                   8,             0.10987,             0.11966,            0.033473,             0.47282,             0.19673,              0.1486,            0.066335,              0.1047,             0.11461,            0.036791,           0.0099879,           0.0099879,           0.0099879
                   9,             0.10999,             0.12086,            0.033094,             0.47959,             0.19451,             0.15246,            0.069185,             0.10406,              0.1146,            0.036744,           0.0099842,           0.0099842,           0.0099842
                  10,             0.10931,             0.12082,            0.032679,             0.29359,             0.19286,             0.15303,            0.068257,             0.10405,             0.11481,            0.036059,             0.00998,             0.00998,             0.00998
                  11,             0.10917,             0.12099,            0.032597,             0.41644,             0.18704,             0.15852,            0.072144,             0.10367,             0.11421,            0.035739,           0.0099753,           0.0099753,           0.0099753
                  12,             0.10896,             0.12187,            0.032343,             0.51009,             0.19817,             0.16948,            0.077104,             0.10303,             0.11434,            0.035341,           0.0099702,           0.0099702,           0.0099702
