               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13569,             0.09422,            0.052026,             0.14964,              0.1329,            0.064113,            0.023575,             0.11609,             0.10989,            0.044832,           0.0033251,           0.0033251,            0.070074
                   1,             0.11824,             0.11654,            0.039324,             0.38253,             0.15091,            0.089416,            0.035013,             0.11019,             0.11425,            0.040436,           0.0066583,           0.0066583,            0.040074
                   2,             0.11495,              0.1186,            0.036716,             0.40777,             0.18079,             0.10431,            0.041614,             0.10832,             0.11622,            0.038939,           0.0099908,           0.0099908,            0.010073
                   3,             0.11213,             0.12196,            0.034709,              0.4724,             0.19869,             0.14603,            0.064376,             0.10511,             0.11551,            0.038358,           0.0099978,           0.0099978,           0.0099978
                   4,             0.11014,             0.11933,            0.033318,             0.50701,             0.19217,             0.16289,            0.072709,             0.10365,             0.11359,            0.036024,           0.0099978,           0.0099978,           0.0099978
                   5,             0.10869,             0.11881,            0.032404,              0.5051,             0.21525,             0.17623,            0.080248,               0.103,             0.11393,            0.035384,           0.0099961,           0.0099961,           0.0099961
                   6,             0.10762,             0.11825,            0.031748,             0.52251,             0.21454,              0.1868,            0.086189,              0.1026,             0.11545,            0.035631,           0.0099938,           0.0099938,           0.0099938
                   7,             0.10735,              0.1184,            0.031374,             0.45407,             0.20051,             0.18868,            0.088588,             0.10191,             0.11401,            0.035051,           0.0099911,           0.0099911,           0.0099911
                   8,             0.10655,             0.11834,            0.031125,             0.45741,             0.21339,             0.20459,            0.095379,             0.10143,             0.11363,            0.034494,           0.0099879,           0.0099879,           0.0099879
                   9,             0.10654,             0.11905,            0.030409,             0.55161,             0.22137,             0.20808,             0.10033,              0.1011,             0.11429,            0.034037,           0.0099842,           0.0099842,           0.0099842
                  10,             0.10584,             0.11851,            0.030226,             0.47239,             0.23686,              0.2132,             0.10196,             0.10077,             0.11336,            0.033823,             0.00998,             0.00998,             0.00998
                  11,             0.10594,             0.11898,            0.030004,             0.42282,             0.24533,             0.22594,             0.10859,             0.10065,             0.11261,            0.033748,           0.0099753,           0.0099753,           0.0099753
                  12,             0.10541,             0.11826,            0.029626,             0.55719,             0.23469,              0.2288,             0.11048,             0.10072,             0.11319,            0.033924,           0.0099702,           0.0099702,           0.0099702
                  13,             0.10486,             0.11678,             0.02936,             0.42677,             0.25688,             0.23749,             0.11463,             0.10005,             0.11244,            0.033135,           0.0099645,           0.0099645,           0.0099645
                  14,              0.1047,             0.11678,            0.029064,             0.32432,             0.25641,             0.23735,             0.11551,            0.099866,             0.11294,            0.033284,           0.0099584,           0.0099584,           0.0099584
                  15,             0.10491,             0.11772,            0.028811,             0.33587,             0.25511,             0.23671,             0.11557,            0.099599,             0.11289,            0.033145,           0.0099517,           0.0099517,           0.0099517
